"country_name","genres","n"
"Argentina","Action",140
"Argentina","Adult",3
"Argentina","Adventure",105
"Argentina","Animation",60
"Argentina","Biography",8
"Argentina","Comedy",169
"Argentina","Crime",128
"Argentina","Documentary",12
"Argentina","Drama",350
"Argentina","Family",16
"Argentina","Fantasy",25
"Argentina","History",2
"Argentina","Horror",37
"Argentina","Music",36
"Argentina","Mystery",63
"Argentina","Reality-TV",2
"Argentina","Romance",97
"Argentina","Sci-Fi",14
"Argentina","Short",1
"Argentina","Sport",10
"Argentina","Talk-Show",9
"Argentina","Thriller",82
"Argentina","War",5
"Argentina","Western",1
"Australia","Action",181
"Australia","Adult",3
"Australia","Adventure",138
"Australia","Animation",49
"Australia","Biography",18
"Australia","Comedy",185
"Australia","Crime",112
"Australia","Documentary",28
"Australia","Drama",266
"Australia","Family",49
"Australia","Fantasy",51
"Australia","Game-Show",8
"Australia","History",5
"Australia","Horror",25
"Australia","Music",3
"Australia","Mystery",67
"Australia","News",1
"Australia","Reality-TV",33
"Australia","Romance",72
"Australia","Sci-Fi",42
"Australia","Short",2
"Australia","Sport",12
"Australia","Talk-Show",14
"Australia","Thriller",74
"Australia","War",7
"Australia","Western",4
"Austria","Action",199
"Austria","Adult",6
"Austria","Adventure",138
"Austria","Animation",34
"Austria","Biography",15
"Austria","Comedy",183
"Austria","Crime",146
"Austria","Documentary",22
"Austria","Drama",297
"Austria","Family",47
"Austria","Fantasy",55
"Austria","Game-Show",6
"Austria","History",3
"Austria","Horror",44
"Austria","Music",2
"Austria","Mystery",56
"Austria","Reality-TV",18
"Austria","Romance",80
"Austria","Sci-Fi",17
"Austria","Short",1
"Austria","Sport",15
"Austria","Talk-Show",12
"Austria","Thriller",76
"Austria","War",5
"Bahamas","Action",169
"Bahamas","Adult",6
"Bahamas","Adventure",103
"Bahamas","Animation",78
"Bahamas","Biography",12
"Bahamas","Comedy",177
"Bahamas","Crime",128
"Bahamas","Documentary",13
"Bahamas","Drama",282
"Bahamas","Family",48
"Bahamas","Fantasy",32
"Bahamas","Game-Show",4
"Bahamas","History",3
"Bahamas","Horror",34
"Bahamas","Music",3
"Bahamas","Mystery",47
"Bahamas","Reality-TV",17
"Bahamas","Romance",71
"Bahamas","Sci-Fi",22
"Bahamas","Short",3
"Bahamas","Sport",8
"Bahamas","Talk-Show",8
"Bahamas","Thriller",102
"Bahamas","War",4
"Bahrain","Action",194
"Bahrain","Adult",5
"Bahrain","Adventure",109
"Bahrain","Animation",38
"Bahrain","Biography",17
"Bahrain","Comedy",161
"Bahrain","Crime",127
"Bahrain","Documentary",13
"Bahrain","Drama",318
"Bahrain","Family",20
"Bahrain","Fantasy",39
"Bahrain","Game-Show",11
"Bahrain","History",2
"Bahrain","Horror",39
"Bahrain","Music",1
"Bahrain","Musical",1
"Bahrain","Mystery",54
"Bahrain","Reality-TV",20
"Bahrain","Romance",90
"Bahrain","Sci-Fi",21
"Bahrain","Short",3
"Bahrain","Sport",8
"Bahrain","Talk-Show",10
"Bahrain","Thriller",82
"Bahrain","War",4
"Bangladesh","Action",214
"Bangladesh","Adult",3
"Bangladesh","Adventure",83
"Bangladesh","Animation",37
"Bangladesh","Biography",4
"Bangladesh","Comedy",185
"Bangladesh","Crime",142
"Bangladesh","Documentary",7
"Bangladesh","Drama",356
"Bangladesh","Family",13
"Bangladesh","Fantasy",26
"Bangladesh","Game-Show",4
"Bangladesh","History",2
"Bangladesh","Horror",29
"Bangladesh","Musical",5
"Bangladesh","Mystery",95
"Bangladesh","Reality-TV",7
"Bangladesh","Romance",91
"Bangladesh","Sci-Fi",32
"Bangladesh","Short",5
"Bangladesh","Sport",1
"Bangladesh","Talk-Show",10
"Bangladesh","Thriller",63
"Bangladesh","War",2
"Belgium","Action",196
"Belgium","Adult",4
"Belgium","Adventure",137
"Belgium","Animation",56
"Belgium","Biography",14
"Belgium","Comedy",189
"Belgium","Crime",130
"Belgium","Documentary",15
"Belgium","Drama",309
"Belgium","Family",22
"Belgium","Fantasy",52
"Belgium","Game-Show",5
