"label","n","parent","id"
"total",132592,NA,"total"
"Action",17733,"total","total  -  Action"
"Adult",450,"total","total  -  Adult"
"Adventure",11092,"total","total  -  Adventure"
"Animation",4778,"total","total  -  Animation"
"Biography",925,"total","total  -  Biography"
"Comedy",16990,"total","total  -  Comedy"
"Crime",11936,"total","total  -  Crime"
"Documentary",1358,"total","total  -  Documentary"
"Drama",29572,"total","total  -  Drama"
"Family",2326,"total","total  -  Family"
"Fantasy",3359,"total","total  -  Fantasy"
"Film Noir",3,"total","total  -  Film Noir"
"Game Show",471,"total","total  -  Game Show"
"History",269,"total","total  -  History"
"Horror",3150,"total","total  -  Horror"
"Music",958,"total","total  -  Music"
"Musical",122,"total","total  -  Musical"
"Mystery",4931,"total","total  -  Mystery"
"News",19,"total","total  -  News"
"Reality TV",1421,"total","total  -  Reality TV"
"Romance",8960,"total","total  -  Romance"
"Sci Fi",2549,"total","total  -  Sci Fi"
"Short",333,"total","total  -  Short"
"Sport",832,"total","total  -  Sport"
"Talk Show",803,"total","total  -  Talk Show"
"Thriller",6788,"total","total  -  Thriller"
"War",427,"total","total  -  War"
"Western",37,"total","total  -  Western"
"Argentina",140,"total -  Action","total -  Action  -  Argentina"
"Argentina",3,"total -  Adult","total -  Adult  -  Argentina"
"Argentina",105,"total -  Adventure","total -  Adventure  -  Argentina"
"Argentina",60,"total -  Animation","total -  Animation  -  Argentina"
"Argentina",8,"total -  Biography","total -  Biography  -  Argentina"
"Argentina",169,"total -  Comedy","total -  Comedy  -  Argentina"
"Argentina",128,"total -  Crime","total -  Crime  -  Argentina"
"Argentina",12,"total -  Documentary","total -  Documentary  -  Argentina"
"Argentina",350,"total -  Drama","total -  Drama  -  Argentina"
"Argentina",16,"total -  Family","total -  Family  -  Argentina"
"Argentina",25,"total -  Fantasy","total -  Fantasy  -  Argentina"
"Argentina",2,"total -  History","total -  History  -  Argentina"
"Argentina",37,"total -  Horror","total -  Horror  -  Argentina"
"Argentina",36,"total -  Music","total -  Music  -  Argentina"
"Argentina",63,"total -  Mystery","total -  Mystery  -  Argentina"
"Argentina",2,"total -  Reality TV","total -  Reality TV  -  Argentina"
"Argentina",97,"total -  Romance","total -  Romance  -  Argentina"
"Argentina",14,"total -  Sci Fi","total -  Sci Fi  -  Argentina"
"Argentina",1,"total -  Short","total -  Short  -  Argentina"
"Argentina",10,"total -  Sport","total -  Sport  -  Argentina"
"Argentina",9,"total -  Talk Show","total -  Talk Show  -  Argentina"
"Argentina",82,"total -  Thriller","total -  Thriller  -  Argentina"
"Argentina",5,"total -  War","total -  War  -  Argentina"
"Argentina",1,"total -  Western","total -  Western  -  Argentina"
"Australia",181,"total -  Action","total -  Action  -  Australia"
"Australia",3,"total -  Adult","total -  Adult  -  Australia"
"Australia",138,"total -  Adventure","total -  Adventure  -  Australia"
"Australia",49,"total -  Animation","total -  Animation  -  Australia"
"Australia",18,"total -  Biography","total -  Biography  -  Australia"
"Australia",185,"total -  Comedy","total -  Comedy  -  Australia"
"Australia",112,"total -  Crime","total -  Crime  -  Australia"
"Australia",28,"total -  Documentary","total -  Documentary  -  Australia"
"Australia",266,"total -  Drama","total -  Drama  -  Australia"
"Australia",49,"total -  Family","total -  Family  -  Australia"
"Australia",51,"total -  Fantasy","total -  Fantasy  -  Australia"
"Australia",8,"total -  Game Show","total -  Game Show  -  Australia"
"Australia",5,"total -  History","total -  History  -  Australia"
"Australia",25,"total -  Horror","total -  Horror  -  Australia"
"Australia",3,"total -  Music","total -  Music  -  Australia"
"Australia",67,"total -  Mystery","total -  Mystery  -  Australia"
"Australia",1,"total -  News","total -  News  -  Australia"
"Australia",33,"total -  Reality TV","total -  Reality TV  -  Australia"
"Australia",72,"total -  Romance","total -  Romance  -  Australia"
"Australia",42,"total -  Sci Fi","total -  Sci Fi  -  Australia"
"Australia",2,"total -  Short","total -  Short  -  Australia"
"Australia",12,"total -  Sport","total -  Sport  -  Australia"
"Australia",14,"total -  Talk Show","total -  Talk Show  -  Australia"
"Australia",74,"total -  Thriller","total -  Thriller  -  Australia"
"Australia",7,"total -  War","total -  War  -  Australia"
"Australia",4,"total -  Western","total -  Western  -  Australia"
"Austria",199,"total -  Action","total -  Action  -  Austria"
"Austria",6,"total -  Adult","total -  Adult  -  Austria"
"Austria",138,"total -  Adventure","total -  Adventure  -  Austria"
"Austria",34,"total -  Animation","total -  Animation  -  Austria"
"Austria",15,"total -  Biography","total -  Biography  -  Austria"
"Austria",183,"total -  Comedy","total -  Comedy  -  Austria"
"Austria",146,"total -  Crime","total -  Crime  -  Austria"
"Austria",22,"total -  Documentary","total -  Documentary  -  Austria"
"Austria",297,"total -  Drama","total -  Drama  -  Austria"
"Austria",47,"total -  Family","total -  Family  -  Austria"
"Austria",55,"total -  Fantasy","total -  Fantasy  -  Austria"
"Austria",6,"total -  Game Show","total -  Game Show  -  Austria"
"Austria",3,"total -  History","total -  History  -  Austria"
"Austria",44,"total -  Horror","total -  Horror  -  Austria"
"Austria",2,"total -  Music","total -  Music  -  Austria"
"Austria",56,"total -  Mystery","total -  Mystery  -  Austria"
"Austria",18,"total -  Reality TV","total -  Reality TV  -  Austria"
"Austria",80,"total -  Romance","total -  Romance  -  Austria"
"Austria",17,"total -  Sci Fi","total -  Sci Fi  -  Austria"
"Austria",1,"total -  Short","total -  Short  -  Austria"
"Austria",15,"total -  Sport","total -  Sport  -  Austria"
