"id","n","label","parent"
"total",117259,NA,NA
"total",37,"total","total"
"total -  Action",17733,"total -  Action","total"
"total -  Adventure",11092,"total -  Adventure","total"
"total -  Animation",4067,"total -  Animation","total"
"total -  Biography",33,"total -  Biography","total"
"total -  Comedy",16990,"total -  Comedy","total"
"total -  Crime",11936,"total -  Crime","total"
"total -  Drama",29572,"total -  Drama","total"
"total -  Family",433,"total -  Family","total"
"total -  Fantasy",2168,"total -  Fantasy","total"
"total -  Horror",1383,"total -  Horror","total"
"total -  Music",292,"total -  Music","total"
"total -  Musical",51,"total -  Musical","total"
"total -  Mystery",4767,"total -  Mystery","total"
"total -  Reality TV",40,"total -  Reality TV","total"
"total -  Romance",8960,"total -  Romance","total"
"total -  Sci Fi",832,"total -  Sci Fi","total"
"total -  Short",85,"total -  Short","total"
"total -  Thriller",6788,"total -  Thriller","total"
"total  -  Western",37,"Western","total"
"total -  Action  -  Argentina",140,"Argentina","total -  Action"
"total -  Adventure  -  Argentina",105,"Argentina","total -  Adventure"
"total -  Animation  -  Argentina",60,"Argentina","total -  Animation"
"total -  Comedy  -  Argentina",169,"Argentina","total -  Comedy"
"total -  Crime  -  Argentina",128,"Argentina","total -  Crime"
"total -  Drama  -  Argentina",350,"Argentina","total -  Drama"
"total -  Horror  -  Argentina",37,"Argentina","total -  Horror"
"total -  Mystery  -  Argentina",63,"Argentina","total -  Mystery"
"total -  Romance  -  Argentina",97,"Argentina","total -  Romance"
"total -  Thriller  -  Argentina",82,"Argentina","total -  Thriller"
"total -  Action  -  Australia",181,"Australia","total -  Action"
"total -  Adventure  -  Australia",138,"Australia","total -  Adventure"
"total -  Animation  -  Australia",49,"Australia","total -  Animation"
"total -  Comedy  -  Australia",185,"Australia","total -  Comedy"
"total -  Crime  -  Australia",112,"Australia","total -  Crime"
"total -  Drama  -  Australia",266,"Australia","total -  Drama"
"total -  Family  -  Australia",49,"Australia","total -  Family"
"total -  Fantasy  -  Australia",51,"Australia","total -  Fantasy"
"total -  Mystery  -  Australia",67,"Australia","total -  Mystery"
"total -  Romance  -  Australia",72,"Australia","total -  Romance"
"total -  Thriller  -  Australia",74,"Australia","total -  Thriller"
"total -  Action  -  Austria",199,"Austria","total -  Action"
"total -  Adventure  -  Austria",138,"Austria","total -  Adventure"
"total -  Comedy  -  Austria",183,"Austria","total -  Comedy"
"total -  Crime  -  Austria",146,"Austria","total -  Crime"
"total -  Drama  -  Austria",297,"Austria","total -  Drama"
"total -  Family  -  Austria",47,"Austria","total -  Family"
"total -  Fantasy  -  Austria",55,"Austria","total -  Fantasy"
"total -  Mystery  -  Austria",56,"Austria","total -  Mystery"
"total -  Romance  -  Austria",80,"Austria","total -  Romance"
"total -  Thriller  -  Austria",76,"Austria","total -  Thriller"
"total -  Action  -  Bahamas",169,"Bahamas","total -  Action"
"total -  Adventure  -  Bahamas",103,"Bahamas","total -  Adventure"
"total -  Animation  -  Bahamas",78,"Bahamas","total -  Animation"
"total -  Comedy  -  Bahamas",177,"Bahamas","total -  Comedy"
"total -  Crime  -  Bahamas",128,"Bahamas","total -  Crime"
"total -  Drama  -  Bahamas",282,"Bahamas","total -  Drama"
"total -  Family  -  Bahamas",48,"Bahamas","total -  Family"
"total -  Mystery  -  Bahamas",47,"Bahamas","total -  Mystery"
"total -  Romance  -  Bahamas",71,"Bahamas","total -  Romance"
"total -  Thriller  -  Bahamas",102,"Bahamas","total -  Thriller"
"total -  Action  -  Bahrain",194,"Bahrain","total -  Action"
"total -  Adventure  -  Bahrain",109,"Bahrain","total -  Adventure"
"total -  Comedy  -  Bahrain",161,"Bahrain","total -  Comedy"
"total -  Crime  -  Bahrain",127,"Bahrain","total -  Crime"
"total -  Drama  -  Bahrain",318,"Bahrain","total -  Drama"
"total -  Fantasy  -  Bahrain",39,"Bahrain","total -  Fantasy"
"total -  Horror  -  Bahrain",39,"Bahrain","total -  Horror"
"total -  Mystery  -  Bahrain",54,"Bahrain","total -  Mystery"
"total -  Romance  -  Bahrain",90,"Bahrain","total -  Romance"
"total -  Thriller  -  Bahrain",82,"Bahrain","total -  Thriller"
"total -  Action  -  Bangladesh",214,"Bangladesh","total -  Action"
"total -  Adventure  -  Bangladesh",83,"Bangladesh","total -  Adventure"
"total -  Animation  -  Bangladesh",37,"Bangladesh","total -  Animation"
"total -  Comedy  -  Bangladesh",185,"Bangladesh","total -  Comedy"
"total -  Crime  -  Bangladesh",142,"Bangladesh","total -  Crime"
"total -  Drama  -  Bangladesh",356,"Bangladesh","total -  Drama"
"total -  Mystery  -  Bangladesh",95,"Bangladesh","total -  Mystery"
"total -  Romance  -  Bangladesh",91,"Bangladesh","total -  Romance"
"total -  Sci Fi  -  Bangladesh",32,"Bangladesh","total -  Sci Fi"
"total -  Thriller  -  Bangladesh",63,"Bangladesh","total -  Thriller"
"total -  Action  -  Belgium",196,"Belgium","total -  Action"
"total -  Adventure  -  Belgium",137,"Belgium","total -  Adventure"
"total -  Animation  -  Belgium",56,"Belgium","total -  Animation"
"total -  Comedy  -  Belgium",189,"Belgium","total -  Comedy"
"total -  Crime  -  Belgium",130,"Belgium","total -  Crime"
"total -  Drama  -  Belgium",309,"Belgium","total -  Drama"
"total -  Fantasy  -  Belgium",52,"Belgium","total -  Fantasy"
"total -  Mystery  -  Belgium",50,"Belgium","total -  Mystery"
"total -  Romance  -  Belgium",88,"Belgium","total -  Romance"
"total -  Thriller  -  Belgium",68,"Belgium","total -  Thriller"
"total -  Action  -  Bolivia",171,"Bolivia","total -  Action"
