"parents","n","labels","id"
"Argentina",140," Action","Argentina  -   Action"
"Argentina",3," Adult","Argentina  -   Adult"
"Argentina",105," Adventure","Argentina  -   Adventure"
"Argentina",60," Animation","Argentina  -   Animation"
"Argentina",8," Biography","Argentina  -   Biography"
"Argentina",169," Comedy","Argentina  -   Comedy"
"Argentina",128," Crime","Argentina  -   Crime"
"Argentina",12," Documentary","Argentina  -   Documentary"
"Argentina",350," Drama","Argentina  -   Drama"
"Argentina",16," Family","Argentina  -   Family"
"Argentina",25," Fantasy","Argentina  -   Fantasy"
"Argentina",2," History","Argentina  -   History"
"Argentina",37," Horror","Argentina  -   Horror"
"Argentina",36," Music","Argentina  -   Music"
"Argentina",63," Mystery","Argentina  -   Mystery"
"Argentina",2," Reality TV","Argentina  -   Reality TV"
"Argentina",97," Romance","Argentina  -   Romance"
"Argentina",14," Sci Fi","Argentina  -   Sci Fi"
"Argentina",1," Short","Argentina  -   Short"
"Argentina",10," Sport","Argentina  -   Sport"
"Argentina",9," Talk Show","Argentina  -   Talk Show"
"Argentina",82," Thriller","Argentina  -   Thriller"
"Argentina",5," War","Argentina  -   War"
"Argentina",1," Western","Argentina  -   Western"
"Australia",181," Action","Australia  -   Action"
"Australia",3," Adult","Australia  -   Adult"
"Australia",138," Adventure","Australia  -   Adventure"
"Australia",49," Animation","Australia  -   Animation"
"Australia",18," Biography","Australia  -   Biography"
"Australia",185," Comedy","Australia  -   Comedy"
"Australia",112," Crime","Australia  -   Crime"
"Australia",28," Documentary","Australia  -   Documentary"
"Australia",266," Drama","Australia  -   Drama"
"Australia",49," Family","Australia  -   Family"
"Australia",51," Fantasy","Australia  -   Fantasy"
"Australia",8," Game Show","Australia  -   Game Show"
"Australia",5," History","Australia  -   History"
"Australia",25," Horror","Australia  -   Horror"
"Australia",3," Music","Australia  -   Music"
"Australia",67," Mystery","Australia  -   Mystery"
"Australia",1," News","Australia  -   News"
"Australia",33," Reality TV","Australia  -   Reality TV"
"Australia",72," Romance","Australia  -   Romance"
"Australia",42," Sci Fi","Australia  -   Sci Fi"
"Australia",2," Short","Australia  -   Short"
"Australia",12," Sport","Australia  -   Sport"
"Australia",14," Talk Show","Australia  -   Talk Show"
"Australia",74," Thriller","Australia  -   Thriller"
"Australia",7," War","Australia  -   War"
"Australia",4," Western","Australia  -   Western"
"Austria",199," Action","Austria  -   Action"
"Austria",6," Adult","Austria  -   Adult"
"Austria",138," Adventure","Austria  -   Adventure"
"Austria",34," Animation","Austria  -   Animation"
"Austria",15," Biography","Austria  -   Biography"
"Austria",183," Comedy","Austria  -   Comedy"
"Austria",146," Crime","Austria  -   Crime"
"Austria",22," Documentary","Austria  -   Documentary"
"Austria",297," Drama","Austria  -   Drama"
"Austria",47," Family","Austria  -   Family"
"Austria",55," Fantasy","Austria  -   Fantasy"
"Austria",6," Game Show","Austria  -   Game Show"
"Austria",3," History","Austria  -   History"
"Austria",44," Horror","Austria  -   Horror"
"Austria",2," Music","Austria  -   Music"
"Austria",56," Mystery","Austria  -   Mystery"
"Austria",18," Reality TV","Austria  -   Reality TV"
"Austria",80," Romance","Austria  -   Romance"
"Austria",17," Sci Fi","Austria  -   Sci Fi"
"Austria",1," Short","Austria  -   Short"
"Austria",15," Sport","Austria  -   Sport"
"Austria",12," Talk Show","Austria  -   Talk Show"
"Austria",76," Thriller","Austria  -   Thriller"
"Austria",5," War","Austria  -   War"
"Bahamas",169," Action","Bahamas  -   Action"
"Bahamas",6," Adult","Bahamas  -   Adult"
"Bahamas",103," Adventure","Bahamas  -   Adventure"
"Bahamas",78," Animation","Bahamas  -   Animation"
"Bahamas",12," Biography","Bahamas  -   Biography"
"Bahamas",177," Comedy","Bahamas  -   Comedy"
"Bahamas",128," Crime","Bahamas  -   Crime"
"Bahamas",13," Documentary","Bahamas  -   Documentary"
"Bahamas",282," Drama","Bahamas  -   Drama"
"Bahamas",48," Family","Bahamas  -   Family"
"Bahamas",32," Fantasy","Bahamas  -   Fantasy"
"Bahamas",4," Game Show","Bahamas  -   Game Show"
"Bahamas",3," History","Bahamas  -   History"
"Bahamas",34," Horror","Bahamas  -   Horror"
"Bahamas",3," Music","Bahamas  -   Music"
"Bahamas",47," Mystery","Bahamas  -   Mystery"
"Bahamas",17," Reality TV","Bahamas  -   Reality TV"
"Bahamas",71," Romance","Bahamas  -   Romance"
"Bahamas",22," Sci Fi","Bahamas  -   Sci Fi"
"Bahamas",3," Short","Bahamas  -   Short"
"Bahamas",8," Sport","Bahamas  -   Sport"
